Feature ID,Feature Name,Feature Type,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSG00000134760,DSG1,Gene Expression,0.6983914378546939,0.0,0.0,8387,8.7223267696978,1007
ENSG00000174080,CTSF,Gene Expression,0.698363045731444,0.0,0.0,46129,7.896638420349666,2301
ENSG00000157593,SLC35B2,Gene Expression,0.6976147469989538,0.0,0.0,54271,9.097761381699298,2368
ENSG00000062038,CDH3,Gene Expression,0.6975582984701172,0.0,0.0,91330,16.17979920701091,2583
ENSG00000164692,COL1A2,Gene Expression,0.6970929524439841,0.0,0.0,87462,83.01625949782327,3249
ENSG00000185046,ANKS1B,Gene Expression,0.6960412210311905,0.0,0.0,15987,2.629418737090912,2013
ENSG00000103489,XYLT1,Gene Expression,0.6948761281301986,0.0,0.0,61426,10.481011336130326,2417
ENSG00000168542,COL3A1,Gene Expression,0.6931944495826007,0.0,0.0,118051,98.93515148805932,3307
ENSG00000248905,FMN1,Gene Expression,0.6925705885260762,0.0,0.0,97452,16.7668975094532,2541
ENSG00000160256,FAM207A,Gene Expression,0.6923834934005887,0.0,0.0,53559,8.940309223121728,2392
ENSG00000197006,METTL9,Gene Expression,0.6920698902542859,0.0,0.0,154977,25.96914941439035,2742
ENSG00000143546,S100A8,Gene Expression,0.6915038854976854,0.0,0.0,65270,29.121955239242677,1758
ENSG00000166016,ABTB2,Gene Expression,0.689113952368354,0.0,0.0,30388,5.224691838108289,2211
ENSG00000020577,SAMD4A,Gene Expression,0.6881491371016673,0.0,0.0,29600,5.176686497219134,2228
ENSG00000188487,INSC,Gene Expression,0.6875482031972849,0.0,0.0,10364,1.8531441055754214,1671
ENSG00000165949,IFI27,Gene Expression,0.6872037869527711,0.0,0.0,144935,27.260911418203463,2826
ENSG00000105141,CASP14,Gene Expression,0.6862254688802275,0.0,0.0,4567,5.486994701100353,649
ENSG00000176177,ENTHD1,Gene Expression,0.6860489067304493,0.0,0.0,9364,1.326265457156279,1219
ENSG00000100225,FBXO7,Gene Expression,0.6855605013236128,0.0,0.0,75329,12.972876485271149,2553
ENSG00000145555,MYO10,Gene Expression,0.6854106277941177,0.0,0.0,58629,9.929751901625481,2467
ENSG00000106299,WASL,Gene Expression,0.6853085820749879,0.0,0.0,69599,11.49381690486816,2509
ENSG00000151552,QDPR,Gene Expression,0.6852891631087346,0.0,0.0,49286,8.658561727899293,2340
ENSG00000163220,S100A9,Gene Expression,0.6850418430600062,0.0,0.0,89500,37.54219095845093,2589
ENSG00000159516,SPRR2G,Gene Expression,0.6839796785004698,0.0,0.0,18569,20.060291525749374,957
ENSG00000211899,IGHM,Gene Expression,0.6839325343185274,0.0,0.0,28044,10.500071256338966,1423
ENSG00000165495,PKNOX2,Gene Expression,0.6823626325485678,0.0,0.0,15126,2.6485669870605113,2025
ENSG00000183255,PTTG1IP,Gene Expression,0.6822701274005557,0.0,0.0,207846,35.07897991727065,2837
ENSG00000112759,SLC29A1,Gene Expression,0.68226623386801,0.0,0.0,45653,7.844313256254686,2310
ENSG00000147588,PMP2,Gene Expression,0.6814804848371759,0.0,0.0,8125,1.1529425904914101,995
ENSG00000078295,ADCY2,Gene Expression,0.681310128361773,0.0,0.0,14513,2.564775406825097,1990
ENSG00000165475,CRYL1,Gene Expression,0.6813019968070652,0.0,0.0,56499,9.558361123983229,2403
ENSG00000112378,PERP,Gene Expression,0.6810228416208091,0.0,0.0,17966,15.159504522010417,1602
ENSG00000106266,SNX8,Gene Expression,0.6807204243383933,0.0,0.0,28625,4.802517113253498,2226
ENSG00000099194,SCD,Gene Expression,0.6796175226091494,0.0,0.0,118592,20.088560998747745,2595
ENSG00000041982,TNC,Gene Expression,0.6793212014921474,0.0,0.0,229767,38.92813813697137,2868
ENSG00000147684,NDUFB9,Gene Expression,0.6792459136032324,0.0,0.0,102221,17.36046380507903,2644
ENSG00000206560,ANKRD28,Gene Expression,0.6787404574380992,0.0,0.0,90634,14.737712648982413,2595
ENSG00000117859,OSBPL9,Gene Expression,0.6756571709021387,0.0,0.0,68427,11.784907934075841,2523
ENSG00000148925,BTBD10,Gene Expression,0.6755487090934033,0.0,0.0,28424,4.778899527864488,2217
ENSG00000069424,KCNAB2,Gene Expression,0.6746187571339044,0.0,0.0,46790,8.0882749380925,2355
ENSG00000167291,TBC1D16,Gene Expression,0.6739436383041344,0.0,0.0,102163,17.575033415058453,2571
ENSG00000080823,MOK,Gene Expression,0.6737380412566252,0.0,0.0,21799,3.810001587659139,2141
ENSG00000153310,FAM49B,Gene Expression,0.673401858234354,0.0,0.0,27538,4.107918560565294,2158
ENSG00000244405,ETV5,Gene Expression,0.6727865939110991,0.0,0.0,15132,2.433758396121426,2033
ENSG00000211896,IGHG1,Gene Expression,0.6722325624178684,0.0,0.0,175407,87.23603431942507,2626
ENSG00000138760,SCARB2,Gene Expression,0.6718105635429744,0.0,0.0,76692,13.290605903230894,2549
ENSG00000085449,WDFY1,Gene Expression,0.6716702209214447,0.0,0.0,62192,10.997554890327008,2510
ENSG00000168824,NSG1,Gene Expression,0.6713496275741522,0.0,0.0,89616,15.868953376521247,2610
ENSG00000196208,GREB1,Gene Expression,0.67069082355852,0.0,0.0,16277,2.810761464949121,2048
ENSG00000109084,TMEM97,Gene Expression,0.6695671117766805,0.0,0.0,23624,3.826419786893472,2138
ENSG00000204248,COL11A2,Gene Expression,0.6679752384975384,0.0,0.0,19048,3.561376720179026,2019
ENSG00000131773,KHDRBS3,Gene Expression,0.6679083872181512,0.0,0.0,24452,4.378724369238074,2202
ENSG00000104341,LAPTM4B,Gene Expression,0.6676576664408365,0.0,0.0,80966,14.052164322292574,2624
ENSG00000156471,PTDSS1,Gene Expression,0.6676427401844486,0.0,0.0,49233,8.200160349512672,2449
ENSG00000186868,MAPT,Gene Expression,0.665804256873461,0.0,0.0,26515,4.391122601581067,2165
ENSG00000126878,AIF1L,Gene Expression,0.6657015204978386,0.0,0.0,41210,7.53107885210437,2293
ENSG00000089327,FXYD5,Gene Expression,0.6637566667624827,0.0,0.0,283989,47.71624647174532,2930
ENSG00000181790,ADGRB1,Gene Expression,0.6617907184699341,0.0,0.0,19943,3.257608103075724,2092
ENSG00000158022,TRIM63,Gene Expression,0.661339702851236,0.0,0.0,18617,3.20090673782593,2061
ENSG00000052795,FNIP2,Gene Expression,0.6608663155987726,0.0,0.0,35865,6.277565585932216,2291
ENSG00000185189,NRBP2,Gene Expression,0.6605706738705314,0.0,0.0,74760,13.956582636003498,2573
ENSG00000169562,GJB1,Gene Expression,0.6601150128651689,0.0,0.0,12048,1.9008738614350646,1909
ENSG00000179091,CYC1,Gene Expression,0.6594778300579632,0.0,0.0,105047,17.819576496452076,2707
ENSG00000137699,TRIM29,Gene Expression,0.6591439366378503,0.0,0.0,13260,11.250706714387894,1489
ENSG00000170276,HSPB2,Gene Expression,0.6574671690689743,0.0,0.0,26002,4.4038875623231375,2183
ENSG00000165716,DIPK1B,Gene Expression,0.6573078742489449,0.0,0.0,27892,4.974550940698904,2241
ENSG00000188677,PARVB,Gene Expression,0.6568448577614104,0.0,0.0,32595,5.519364144027663,2258
ENSG00000185442,FAM174B,Gene Expression,0.65666550000537,0.0,0.0,30374,5.281430325955426,2253
ENSG00000239900,ADSL,Gene Expression,0.6557006715817627,0.0,0.0,32193,5.612419336466424,2308
ENSG00000033327,GAB2,Gene Expression,0.655228764355486,0.0,0.0,31224,5.042829827427562,2232
ENSG00000176890,TYMS,Gene Expression,0.6551413027285325,0.0,0.0,16867,2.71010318270147,2056
ENSG00000134765,DSC1,Gene Expression,0.6550928237779818,0.0,0.0,3449,4.196899639814545,568
ENSG00000171819,ANGPTL7,Gene Expression,0.6549144191130178,0.0,0.0,18576,3.8837402105885004,1855
ENSG00000171316,CHD7,Gene Expression,0.6543011725827251,0.0,0.0,52102,9.069372901370663,2453
ENSG00000142875,PRKACB,Gene Expression,0.6538118324376678,0.0,0.0,24618,4.3465341639941215,2188
ENSG00000141540,TTYH2,Gene Expression,0.653532350550571,0.0,0.0,13573,2.393783407242421,2021
ENSG00000182551,ADI1,Gene Expression,0.6523561831770334,0.0,0.0,60608,10.75378103892719,2569
ENSG00000135414,GDF11,Gene Expression,0.6521958735957618,0.0,0.0,21917,3.8550665849053054,2139
ENSG00000164708,PGAM2,Gene Expression,0.6505077681224449,0.0,0.0,13751,2.1367507794617264,1917
ENSG00000198203,SULT1C2,Gene Expression,0.6499208332049214,0.0,0.0,12504,2.210849338375569,1977
ENSG00000100413,POLR3H,Gene Expression,0.649465828245771,0.0,0.0,29706,5.150354189014023,2307
ENSG00000163453,IGFBP7,Gene Expression,0.6490704905770079,0.0,0.0,562148,101.6556960137706,3207
ENSG00000109846,CRYAB,Gene Expression,0.6485256478785862,0.0,0.0,206904,33.91963876824503,2838
ENSG00000112242,E2F3,Gene Expression,0.6467859088230729,0.0,0.0,22566,3.913693612633312,2178
ENSG00000137168,PPIL1,Gene Expression,0.6466822796281226,0.0,0.0,21784,3.6117719087359372,2203
ENSG00000046653,GPM6B,Gene Expression,0.6465618607395031,0.0,0.0,19433,3.0481519859724977,2009
ENSG00000205336,ADGRG1,Gene Expression,0.6460711881098861,0.0,0.0,86878,15.605962721424337,2667
ENSG00000165072,MAMDC2,Gene Expression,0.6457153648976935,0.0,0.0,4104,0.6674775197292424,637
